year,type,discipline,event,as,athlete_id,noc,medal
1998,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Christine Boudrias,80711,CAN,Bronze
2014,Winter,Bobsleigh (Bobsleigh),"Two, Women",Lauryn Williams,104900,USA,Silver
1964,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Klavdiya Boyarskikh,80720,URS,Gold
1964,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Klavdiya Boyarskikh,80720,URS,Gold
1964,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Klavdiya Boyarskikh,80720,URS,Gold
1998,Winter,Freestyle Skiing (Skiing),"Aerials, Women",Colette Brand,80724,SUI,Bronze
1992,Winter,Figure Skating (Skating),"Pairs, Mixed",Isabelle Brasseur,80726,CAN,Bronze
1994,Winter,Figure Skating (Skating),"Pairs, Mixed",Isabelle Brasseur,80726,CAN,Bronze
1992,Winter,Biathlon,"3 × 7.5 kilometres Relay, Women",Anne Briand,80728,FRA,Gold
1994,Winter,Biathlon,"15 kilometres, Women",Anne Briand-Bouthiaux,80728,FRA,Silver
1994,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women",Anne Briand-Bouthiaux,80728,FRA,Bronze
1928,Winter,Figure Skating (Skating),"Pairs, Mixed",Melitta Brunner,80740,AUT,Bronze
1952,Winter,Alpine Skiing (Skiing),"Downhill, Women",Mirl Buchner,80745,GER,Silver
1952,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Mirl Buchner,80745,GER,Bronze
1952,Winter,Alpine Skiing (Skiing),"Slalom, Women",Mirl Buchner,80745,GER,Bronze
1928,Winter,Figure Skating (Skating),"Singles, Women",Fritzi Burger,80755,AUT,Silver
1932,Winter,Figure Skating (Skating),"Singles, Women",Fritzi Burger,80755,AUT,Silver
1964,Winter,Figure Skating (Skating),"Singles, Women",Petra Burka,80757,CAN,Bronze
1994,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women",Delphyne Heymann-Burlet,80761,FRA,Bronze
1980,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Anette Bøe,80775,NOR,Bronze
1992,Winter,Speed Skating (Skating),"1,500 metres, Women",Jacqueline Börner,80776,GER,Gold
1968,Winter,Speed Skating (Skating),"1,500 metres, Women",Stien Kaiser,80777,NED,Bronze
1968,Winter,Speed Skating (Skating),"3,000 metres, Women",Stien Kaiser,80777,NED,Bronze
1972,Winter,Speed Skating (Skating),"1,500 metres, Women",Stien Baas-Kaiser,80777,NED,Silver
1972,Winter,Speed Skating (Skating),"3,000 metres, Women",Stien Baas-Kaiser,80777,NED,Gold
1984,Winter,Figure Skating (Skating),"Pairs, Mixed",Kitty Carruthers,80800,USA,Silver
1994,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Karen Cashman,80803,USA,Bronze
1994,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Isabelle Charest,80811,CAN,Silver
1998,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Isabelle Charest,80811,CAN,Bronze
2014,Winter,Bobsleigh (Bobsleigh),"Two, Women",Heather Moyse,110772,CAN,Gold
1984,Winter,Alpine Skiing (Skiing),"Downhill, Women",Olga Charvátová,80813,TCH,Bronze
1994,Winter,Figure Skating (Skating),"Singles, Women",Chen Lu,80820,CHN,Bronze
1998,Winter,Figure Skating (Skating),"Singles, Women",Chen Lu,80820,CHN,Bronze
1980,Winter,Figure Skating (Skating),"Pairs, Mixed",Marina Cherkasova,80823,URS,Silver
1994,Winter,Short Track Speed Skating (Skating),"1,000 metres, Women",Jeon I-Gyeong,80843,KOR,Gold
1994,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Jeon I-Gyeong,80843,KOR,Gold
1998,Winter,Short Track Speed Skating (Skating),"500 metres, Women",Jeon I-Gyeong,80843,KOR,Bronze
1998,Winter,Short Track Speed Skating (Skating),"1,000 metres, Women",Jeon I-Gyeong,80843,KOR,Gold
1998,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Jeon I-Gyeong,80843,KOR,Gold
1992,Winter,Biathlon,"3 × 7.5 kilometres Relay, Women",Véronique Claudel,80853,FRA,Gold
1994,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women",Véronique Claudel,80853,FRA,Bronze
1992,Winter,Alpine Skiing (Skiing),"Slalom, Women",Annelise Coberger,80862,NZL,Silver
1972,Winter,Alpine Skiing (Skiing),"Slalom, Women",Barbara Cochran,80863,USA,Gold
1936,Winter,Figure Skating (Skating),"Singles, Women",Cecilia Colledge,80867,GBR,Silver
1956,Winter,Alpine Skiing (Skiing),"Slalom, Women",Renée Colliard,80868,SUI,Gold
1992,Winter,Alpine Skiing (Skiing),"Super G, Women",Deborah Compagnoni,80870,ITA,Gold
1994,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Deborah Compagnoni,80870,ITA,Gold
1998,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Deborah Compagnoni,80870,ITA,Gold
1998,Winter,Alpine Skiing (Skiing),"Slalom, Women",Deborah Compagnoni,80870,ITA,Silver
1984,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Christin Cooper,80876,USA,Silver
1972,Winter,Alpine Skiing (Skiing),"Downhill, Women",Susie Corrock,80878,USA,Bronze
1936,Winter,Alpine Skiing (Skiing),"Combined, Women",Christl Cranz,80885,GER,Gold
1992,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Angela Cutrone,80896,CAN,Gold
1956,Winter,Figure Skating (Skating),"Pairs, Mixed",Frances Dafoe,80902,CAN,Silver
1998,Winter,Biathlon,"15 kilometres, Women",Ekaterina Dafovska,80903,BUL,Gold
1972,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Aslaug Dahl,80904,NOR,Bronze
1988,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Marianne Dahlmo,80909,NOR,Silver
1992,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Sylvie Daigle,80910,CAN,Gold
1994,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Sylvie Daigle,80910,CAN,Silver
1998,Winter,Cross Country Skiing (Skiing),"15 kilometres, Women",Olga Danilova,80915,RUS,Gold
1998,Winter,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",Olga Danilova,80915,RUS,Silver
1998,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Olga Danilova,80915,RUS,Gold
1976,Winter,Figure Skating (Skating),"Singles, Women",Dianne de Leeuw,80925,NED,Silver
1972,Winter,Alpine Skiing (Skiing),"Slalom, Women",Danièle Debernard,80929,FRA,Silver
1976,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Danièle Debernard,80929,FRA,Bronze
1976,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Monika Debertshäuser,80930,GDR,Bronze
1976,Winter,Luge,"Singles, Women",Elisabeth Demleitner,80939,FRG,Bronze
1992,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Manuela Di Centa,80945,ITA,Bronze
1994,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Manuela Di Centa,80945,ITA,Silver
1994,Winter,Cross Country Skiing (Skiing),"15 kilometres, Women",Manuela Di Centa,80945,ITA,Gold
1994,Winter,Cross Country Skiing (Skiing),"30 kilometres, Women",Manuela Di Centa,80945,ITA,Gold
1994,Winter,Cross Country Skiing (Skiing),"5/10 kilometres Pursuit, Women",Manuela Di Centa,80945,ITA,Silver
1994,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Manuela Di Centa,80945,ITA,Bronze
1998,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Manuela Di Centa,80945,ITA,Bronze
1960,Winter,Figure Skating (Skating),"Singles, Women",Sjoukje Dijkstra,80948,NED,Silver
1964,Winter,Figure Skating (Skating),"Singles, Women",Sjoukje Dijkstra,80948,NED,Gold
1992,Winter,Biathlon,"3 × 7.5 kilometres Relay, Women",Uschi Disl,80953,GER,Silver
1994,Winter,Biathlon,"15 kilometres, Women",Uschi Disl,80953,GER,Bronze
1994,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women",Uschi Disl,80953,GER,Silver
1998,Winter,Biathlon,"7.5 kilometres Sprint, Women",Uschi Disl,80953,GER,Silver
1998,Winter,Biathlon,"15 kilometres, Women",Uschi Disl,80953,GER,Bronze
1998,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women",Uschi Disl,80953,GER,Gold
2014,Winter,Bobsleigh (Bobsleigh),"Two, Women",Elana Meyers,118644,USA,Silver
2014,Winter,Bobsleigh (Bobsleigh),"Two, Women",Kaillie Humphries,118672,CAN,Gold
2014,Winter,Bobsleigh (Bobsleigh),"Two, Women",Aja Evans,128681,USA,Bronze
1992,Winter,Short Track Speed Skating (Skating),"3,000 metres Relay, Women",Darcie Dohnal,80959,USA,Silver
1960,Winter,Speed Skating (Skating),"500 metres, Women",Nataliya Donchenko,80963,URS,Silver
1994,Winter,Alpine Skiing (Skiing),"Combined, Women",Alenka Dovžan,80966,SLO,Bronze
1972,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Wiltrud Drexel,80970,AUT,Bronze
1952,Winter,Figure Skating (Skating),"Singles, Women",Jacqueline du Bief,80975,FRA,Bronze
1992,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Isabelle Duchesnay,80979,FRA,Silver
1988,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Trude Dybendahl,80992,NOR,Silver
1992,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Trude Dybendahl,80992,NOR,Silver
1994,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Trude Dybendahl,80992,NOR,Silver
1968,Winter,Luge,"Singles, Women",Angelika Dünhaupt,80995,FRG,Bronze
1956,Winter,Alpine Skiing (Skiing),"Downhill, Women",Frieda Dänzer,80996,SUI,Silver
1994,Winter,Alpine Skiing (Skiing),"Slalom, Women",Elfi Eder,81001,AUT,Silver
1956,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Sonja Edström,81003,SWE,Bronze
1956,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Sonja Edström,81003,SWE,Bronze
1960,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Sonja Ruthström,81003,SWE,Gold
1924,Winter,Figure Skating (Skating),"Pairs, Mixed",Ludowika Jakobsson-Eilers,81010,FIN,Silver
1964,Winter,Luge,"Singles, Women",Ortrun Enderlein,81022,GER,Gold
1924,Winter,Figure Skating (Skating),"Pairs, Mixed",Helene Engelmann,81024,AUT,Gold
1968,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Babben Enger-Damon,81025,NOR,Gold
1980,Winter,Speed Skating (Skating),"500 metres, Women",Karin Enke,81028,GDR,Gold
1984,Winter,Speed Skating (Skating),"500 metres, Women",Karin Enke,81028,GDR,Silver
1984,Winter,Speed Skating (Skating),"1,000 metres, Women",Karin Enke,81028,GDR,Gold
1984,Winter,Speed Skating (Skating),"1,500 metres, Women",Karin Enke,81028,GDR,Gold
1984,Winter,Speed Skating (Skating),"3,000 metres, Women",Karin Enke,81028,GDR,Silver
1988,Winter,Speed Skating (Skating),"500 metres, Women",Karin Kania,81028,GDR,Bronze
1988,Winter,Speed Skating (Skating),"1,000 metres, Women",Karin Kania,81028,GDR,Silver
1988,Winter,Speed Skating (Skating),"1,500 metres, Women",Karin Kania,81028,GDR,Silver
1980,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Irene Epple,81029,FRG,Silver
1992,Winter,Luge,"Singles, Women",Susi Erdmann,81032,GER,Bronze
1994,Winter,Luge,"Singles, Women",Susi Erdmann,81032,GER,Silver
2014,Winter,Bobsleigh (Bobsleigh),"Two, Women",Jamie Greubel,128683,USA,Bronze
1956,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Anna-Lisa Eriksson,81033,SWE,Bronze
1976,Winter,Figure Skating (Skating),"Singles, Women",Christine Errath,81036,GDR,Bronze
1994,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Martina Ertl,81037,GER,Silver
1998,Winter,Alpine Skiing (Skiing),"Combined, Women",Martina Ertl,81037,GER,Silver
2010,Winter,Bobsleigh (Bobsleigh),"Two, Women",Helen Upperton,110771,CAN,Silver
1952,Winter,Figure Skating (Skating),"Pairs, Mixed",Ria Falk,81041,GER,Gold
1968,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Annie Famose,81043,FRA,Silver
1968,Winter,Alpine Skiing (Skiing),"Slalom, Women",Annie Famose,81043,FRA,Bronze
1992,Winter,Alpine Skiing (Skiing),"Slalom, Women",Blanca Fernández Ochoa,81053,ESP,Bronze
1984,Winter,Alpine Skiing (Skiing),"Downhill, Women",Michela Figini,81059,SUI,Gold
1988,Winter,Alpine Skiing (Skiing),"Super G, Women",Michela Figini,81059,SUI,Silver
1968,Winter,Speed Skating (Skating),"500 metres, Women",Jenny Fish,81065,USA,Silver
1968,Winter,Figure Skating (Skating),"Singles, Women",Peggy Fleming,81072,USA,Gold
1956,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Putzi Frandl,81083,AUT,Silver
1948,Winter,Alpine Skiing (Skiing),"Slalom, Women",Gretchen Fraser,81086,USA,Gold
1948,Winter,Alpine Skiing (Skiing),"Combined, Women",Gretchen Fraser,81086,USA,Silver
1980,Winter,Figure Skating (Skating),"Singles, Women",Linda Fratianne,81087,USA,Silver
1976,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Nina Baldycheva,81101,URS,Bronze
1976,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Nina Baldycheva,81101,URS,Gold
1980,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Nina Baldycheva,81101,URS,Silver
1994,Winter,Speed Skating (Skating),"1,500 metres, Women",Svetlana Fedotkina,81102,RUS,Silver
1992,Winter,Speed Skating (Skating),"1,000 metres, Women",Monique Garbrecht,81111,GER,Bronze
2010,Winter,Bobsleigh (Bobsleigh),"Two, Women",Heather Moyse,110772,CAN,Gold
1988,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Nina Gavrylyuk,81124,URS,Gold
1994,Winter,Cross Country Skiing (Skiing),"15 kilometres, Women",Nina Gavrylyuk,81124,RUS,Bronze
1994,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Nina Gavrylyuk,81124,RUS,Gold
1998,Winter,Cross Country Skiing (Skiing),"4 × 5 kilometres Relay, Women",Nina Gavrylyuk,81124,RUS,Gold
1968,Winter,Speed Skating (Skating),"1,000 metres, Women",Carry Geijssen,81129,NED,Gold
1968,Winter,Speed Skating (Skating),"1,500 metres, Women",Carry Geijssen,81129,NED,Silver
1964,Winter,Luge,"Singles, Women",Ilse Geisler,81130,GER,Silver
1998,Winter,Alpine Skiing (Skiing),"Slalom, Women",Hilde Gerg,81135,GER,Gold
1998,Winter,Alpine Skiing (Skiing),"Combined, Women",Hilde Gerg,81135,GER,Bronze
1976,Winter,Alpine Skiing (Skiing),"Slalom, Women",Claudia Giordani,81149,ITA,Silver
1994,Winter,Alpine Skiing (Skiing),"Super G, Women",Svetlana Gladysheva,81154,RUS,Silver
1984,Winter,Speed Skating (Skating),"500 metres, Women",Nataliya Glebova,81157,URS,Bronze
1968,Winter,Figure Skating (Skating),"Pairs, Mixed",Margot Glockshuber,81158,FRG,Bronze
1964,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Christine Goitschel,81160,FRA,Silver
1964,Winter,Alpine Skiing (Skiing),"Slalom, Women",Christine Goitschel,81160,FRA,Gold
1964,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Marielle Goitschel,81161,FRA,Gold
1964,Winter,Alpine Skiing (Skiing),"Slalom, Women",Marielle Goitschel,81161,FRA,Silver
1968,Winter,Alpine Skiing (Skiing),"Slalom, Women",Marielle Goitschel,81161,FRA,Gold
1988,Winter,Figure Skating (Skating),"Pairs, Mixed",Katya Gordeyeva,81171,URS,Gold
1994,Winter,Figure Skating (Skating),"Pairs, Mixed",Katya Gordeyeva,81171,RUS,Gold
1936,Winter,Alpine Skiing (Skiing),"Combined, Women",Käthe Grasegger,81185,GER,Silver
1968,Winter,Alpine Skiing (Skiing),"Giant Slalom, Women",Nancy Greene,81195,CAN,Gold
1968,Winter,Alpine Skiing (Skiing),"Slalom, Women",Nancy Greene,81195,CAN,Silver
1994,Winter,Biathlon,"4 × 7.5 kilometres Relay, Women",Simone Greiner-Petter-Memm,81197,GER,Silver
1994,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Pasha Grishchuk,81200,RUS,Gold
1998,Winter,Figure Skating (Skating),"Ice Dancing, Mixed",Pasha Grishchuk,81200,RUS,Gold
1972,Winter,Figure Skating (Skating),"Pairs, Mixed",Manuela Groß,81207,GDR,Bronze
1976,Winter,Figure Skating (Skating),"Pairs, Mixed",Manuela Groß,81207,GDR,Bronze
1960,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Mariya Gusakova,81213,URS,Gold
1960,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Mariya Gusakova,81213,URS,Silver
1964,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Mariya Gusakova,81213,URS,Bronze
1960,Winter,Speed Skating (Skating),"1,000 metres, Women",Klara Guseva,81214,URS,Gold
1964,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Toini Gustafsson,81216,SWE,Silver
1968,Winter,Cross Country Skiing (Skiing),"5,000 metres, Women ",Toini Gustafsson,81216,SWE,Gold
1968,Winter,Cross Country Skiing (Skiing),"10 kilometres, Women",Toini Gustafsson,81216,SWE,Gold
1968,Winter,Cross Country Skiing (Skiing),"3 × 5 kilometres Relay, Women",Toini Gustafsson,81216,SWE,Silver
2010,Winter,Bobsleigh (Bobsleigh),"Two, Women",Elana Meyers,118644,USA,Bronze
2010,Winter,Bobsleigh (Bobsleigh),"Two, Women",Erin Pac,118647,USA,Bronze
1976,Winter,Figure Skating (Skating),"Singles, Women",Dorothy Hamill,81238,USA,Gold
1948,Winter,Alpine Skiing (Skiing),"Downhill, Women",Resi Hammerer,81240,AUT,Bronze
1964,Winter,Speed Skating (Skating),"3,000 metres, Women",Han Pil-Hwa,81244,PRK,Silver
1992,Winter,Speed Skating (Skating),"1,500 metres, Women",Seiko Hashimoto,81256,JPN,Bronze
1992,Winter,Freestyle Skiing (Skiing),"Moguls, Women",Stine Lise Hattestad,81261,NOR,Bronze
1994,Winter,Freestyle Skiing (Skiing),"Moguls, Women",Stine Lise Hattestad,81261,NOR,Gold
1960,Winter,Alpine Skiing (Skiing),"Downhill, Women",Traudl Hecher,81268,AUT,Bronze
1964,Winter,Alpine Skiing (Skiing),"Downhill, Women",Traudl Hecher,81268,AUT,Bronze
1960,Winter,Alpine Skiing (Skiing),"Slalom, Women",Anne Heggtveit,81273,CAN,Gold
1980,Winter,Speed Skating (Skating),"3,000 metres, Women",Beth Heiden,81274,USA,Bronze
1956,Winter,Figure Skating (Skating),"Singles, Women",Carol Heiss,81276,USA,Silver
1960,Winter,Figure Skating (Skating),"Singles, Women",Carol Heiss,81276,USA,Gold
1964,Winter,Figure Skating (Skating),"Singles, Women",Regine Heitzer,81277,AUT,Silver
1928,Winter,Figure Skating (Skating),"Singles, Women",Sonja Henie,81280,NOR,Gold
